Time	Left	Right	Total	Trigger
0	8.643	6.853	15.496	0
0.109999999999985	8.659	6.95	15.608	0
0.20999999999998	8.634	7.106	15.74	0
0.310000000000002	8.652	7.248	15.9	0
0.409999999999997	8.637	7.26	15.897	0
0.509999999999991	8.463	7.144	15.607	0
0.609999999999985	8.195	7.053	15.248	0
0.70999999999998	8.018	7.016	15.033	0
0.810000000000002	7.955	7.004	14.96	0
0.909999999999997	7.957	7.019	14.976	0
1.01999999999998	7.983	7.037	15.02	0
1.12	8.064	7.052	15.115	0
1.22	8.237	7.072	15.309	0
1.31999999999999	8.38	7.076	15.456	0
1.41999999999999	8.266	7.059	15.325	0
1.51999999999998	7.931	7.016	14.946	0
1.62	7.941	6.981	14.922	0
1.72	7.919	6.951	14.87	0
1.81999999999999	7.912	6.913	14.825	0
1.91999999999999	8.039	6.908	14.947	0
2.03	8.15	6.915	15.066	0
2.13	8.105	6.915	15.02	0
2.22999999999999	8.027	6.912	14.939	0
2.32999999999998	8.011	6.897	14.908	0
2.42999999999998	7.98	6.858	14.838	0
2.53	7.935	6.815	14.749	0
2.63	7.953	6.824	14.778	0
2.72999999999999	8.02	6.882	14.902	0
2.82999999999998	8.137	6.934	15.07	0
2.94	8.446	6.981	15.427	1
3.03999999999999	8.502	7.044	15.546	1
3.13999999999999	8.457	7.1	15.556	1
3.23999999999998	8.358	7.151	15.509	1
3.34	8.234	7.212	15.446	1
3.44	8.092	7.16	15.252	1
3.53999999999999	8.018	6.971	14.989	1
3.63999999999999	8.048	6.815	14.863	1
3.73999999999998	8.073	6.788	14.861	1
3.84999999999999	8.005	6.842	14.847	1
3.94999999999999	7.911	6.949	14.86	1
4.04999999999998	7.955	7.148	15.102	1
4.14999999999998	8.265	7.39	15.654	1
4.25	8.746	7.566	16.312	1
4.34999999999999	8.882	7.711	16.593	1
4.44999999999999	9.083	7.91	16.994	1
4.54999999999998	9.411	8.141	17.553	1
4.64999999999998	10.05	8.34	18.39	1
4.75	11.536	8.558	20.094	1
4.85999999999999	13.987	9.074	23.061	1
4.95999999999998	17.112	10.94	28.052	1
5.06	20.702	15.276	35.979	1
5.16	23.832	20.161	43.993	1
5.25999999999999	26.585	23.885	50.47	1
5.35999999999999	30.616	27.886	58.502	1
5.45999999999998	36.136	33.398	69.534	1
5.56	43.893	38.207	82.101	1
5.66	45.532	40.505	86.037	1
5.76999999999998	47.19	42.011	89.201	1
5.87	49.591	43.492	93.083	1
5.97	53.378	45.351	98.729	1
6.06999999999999	57.622	48.175	105.796	1
6.16999999999999	60.226	50.698	110.924	1
6.26999999999998	61.993	52.521	114.513	1
6.37	65.743	55.56	121.302	1
6.47	71.272	66.088	137.36	1
6.56999999999999	76.38	69.999	146.378	1
6.66999999999999	80.871	74.063	154.934	1
6.76999999999998	85.659	79.17	164.829	1
6.88	91.842	82.836	174.678	1
6.97999999999999	92.763	83.717	176.48	1
7.07999999999998	96.098	86.336	182.435	1
7.17999999999998	101.203	91.18	192.384	1
7.28	104.452	94.454	198.906	1
7.38	106.227	97.198	203.425	1
7.47999999999999	108.268	100.934	209.202	1
7.57999999999998	110.275	105.117	215.392	1
7.69	112.567	110.418	222.985	1
7.78999999999999	115.048	115.069	230.117	1
7.88999999999999	116.747	117.412	234.159	1
7.98999999999998	118.875	119.766	238.641	1
8.09	122.435	124.157	246.593	1
8.19	127.176	130.775	257.951	1
8.28999999999999	133.476	135.133	268.61	1
8.38999999999999	133.485	134.704	268.189	1
8.48999999999998	136.269	135.473	271.743	1
8.59	141.154	140.331	281.485	1
8.69	144.454	144.051	288.505	1
8.79999999999998	147.524	146.007	293.53	1
8.89999999999998	150.919	149.895	300.813	1
9	153.086	154.493	307.579	1
9.09999999999999	155.444	159.167	314.611	1
9.19999999999999	157.107	163.511	320.618	1
9.29999999999998	158.966	166.32	325.286	1
9.39999999999998	163.583	169.793	333.377	1
9.5	168.195	165.928	334.123	1
9.60999999999999	177.19	166.094	343.284	1
9.70999999999998	183.917	172.577	356.493	1
9.81	188.126	178.893	367.019	1
9.91	189.537	183.833	373.37	1
10.01	191.172	188.538	379.709	1
10.11	193.584	192.454	386.038	1
10.21	194.161	192.776	386.936	1
10.31	193.282	191.813	385.095	1
10.41	194.967	194.263	389.23	1
10.51	198.494	197.4	395.894	1
10.61	202.021	198.681	400.702	1
10.72	205.979	200.983	406.962	1
10.82	209.661	205.78	415.441	1
10.92	215.684	211.019	426.703	1
11.02	217.385	214.985	432.371	1
11.12	217.393	216.579	433.973	1
11.22	218.636	216.746	435.382	1
11.32	223.475	218.487	441.962	1
11.42	229.759	221.321	451.08	1
11.52	233.271	223.647	456.918	1
11.63	233.706	225.571	459.276	1
11.73	234.777	228.711	463.488	1
11.83	239.044	234.07	473.114	1
11.93	245.57	240.514	486.084	1
12.03	251.164	247.139	498.304	1
12.13	253.631	252.242	505.873	1
12.23	253.758	253.893	507.651	1
12.33	255.622	252.642	508.263	1
12.43	258.233	252.672	510.905	1
12.53	258.946	249.508	508.454	1
12.64	256.334	242.623	498.957	1
12.74	251.062	234.625	485.687	1
12.84	242.213	224.976	467.188	1
12.94	228.293	211.517	439.81	0
13.04	210.233	197.072	407.305	0
13.14	194.349	185.58	379.929	0
13.24	197.587	176.713	374.3	0
13.34	214.548	166.922	381.469	0
13.44	197.36	137.387	334.747	0
13.55	149.469	100.846	250.315	0
13.65	116.19	89.652	205.842	0
13.75	117.505	87.923	205.428	0
13.85	110.8	82.317	193.116	0
13.95	101.579	77.321	178.9	0
14.05	99.903	74.074	173.978	0
14.15	97.063	71.82	168.883	0
14.25	90.499	67.692	158.19	0
14.35	87.62	63.555	151.175	0
14.46	87.345	60.57	147.916	0
14.56	86.264	58.554	144.817	0
14.66	83.828	56.22	140.049	0
14.76	80.797	52.949	133.747	0
14.86	76.053	50.086	126.139	0
14.96	65.897	46.74	112.637	0
15.06	62.175	42.682	104.857	0
15.16	56.199	38.315	94.513	0
15.26	49.414	33.16	82.574	0
15.36	43.315	24.225	67.54	0
15.47	35.909	21.196	57.105	0
15.57	27.825	18.698	46.523	1
15.67	20.075	14.809	34.883	1
15.77	13.312	10.704	24.016	1
