time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,missing_grf_data,missing_grf_reason,tibia_r_probably_contacting_ground,tibia_l_probably_contacting_ground,tibia_r_contact_cop_x,tibia_r_contact_cop_y,tibia_r_contact_cop_z,tibia_r_contact_moment_x,tibia_r_contact_moment_y,tibia_r_contact_moment_z,tibia_r_contact_force_x,tibia_r_contact_force_y,tibia_r_contact_force_z,tibia_l_contact_cop_x,tibia_l_contact_cop_y,tibia_l_contact_cop_z,tibia_l_contact_moment_x,tibia_l_contact_moment_y,tibia_l_contact_moment_z,tibia_l_contact_force_x,tibia_l_contact_force_y,tibia_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
0,-0.653772,-0.0397032,0.105629,0.455643,0.758501,1.23828,0.520199,-0.0575806,-0.0246956,1.53652,-0.321307,-0.281244,-0.000812905,0.449177,-0.202113,0.0305641,1.49262,-0.107561,-0.052008,0.000302342,0.681007,-0.0624707,0.00629283,-0.74099,-1.29697,-1.58088,1.96292,-0.164653,-1.59071,-1.16799,2.09503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.312291,4.44089e-17,1.33725,-0.130193,-4.14172,0.0853247,11.8779,377.862,-7.78444,0.387558,4.44089e-17,1.08275,0.00240395,-0.0562578,-0.00225017,-11.4349,267.603,10.7034,0.000476302,0.0689932,0
0.005,-0.652616,-0.039216,0.106206,0.454763,0.758494,1.23826,0.52076,-0.0587547,-0.0253271,1.53849,-0.299937,-0.24063,-0.000811691,0.448953,-0.201484,0.0320748,1.49289,-0.110611,-0.0469374,0.000302839,0.673727,-0.0617167,-0.00206412,-0.73061,-1.30235,-1.58089,1.96481,0.246023,-1.57915,-0.778406,2.08006,0.231211,0.0974412,0.115324,-0.175918,-0.00135026,-0.00429714,0.112082,-0.234814,-0.126294,0.394546,4.27411,8.12287,0.000242711,-0.0447218,0.125831,0.302148,0.0548986,-0.609975,1.01411,9.92865e-05,-1.45599,0.150805,-1.67139,2.07587,-1.07606,-0.00283916,0.378394,82.1354,2.31217,77.9177,-2.99348,49.7715,-10.6517,22.9623,0.874774,-3.76752,5.161,-13.4521,-5.69777,10.1161,15.4946,-1.1773,-0.995256,0.0824283,-19.9573,12.4508,5.16218,41.3063,-0.259607,-0.132312,-0.0146232,62.0827,14.8705,14.4376,0.0777263,-5.72929,0.167141,0.582969,3.3006,-19.494,-3.56236,12.4071,-14.6202,-6.38553,-2.93971,4.98924,-1.61202,-0.293571,-9.51188,8.98267,1.07021,-18.2043,-169.002,-314.877,2.01167e-06,-0.750853,-4.90845,-7.32337,-2.70588,18.769,-41.4827,2.42891e-06,51.1639,-6.49613,56.1844,-41.4498,40.3466,2.04429e-05,-19.3392,-4419.99,-132.704,-4505.17,134.591,0,0,1,1,0.311832,4.44089e-17,1.33679,-0.141613,-4.3268,0.08939,12.3372,376.947,-7.78758,0.38811,4.44089e-17,1.08277,0.0105585,-0.257395,-0.0100014,-10.9773,267.604,10.3981,0.000460722,0.0694147,56.2096
0.01,-0.651826,-0.0388884,0.106709,0.454009,0.758447,1.23823,0.521082,-0.0597042,-0.0259318,1.54001,-0.282791,-0.207888,-0.000810477,0.448711,-0.200977,0.0334025,1.4931,-0.113192,-0.0429039,0.000303335,0.667726,-0.0611251,-0.00901646,-0.721267,-1.30672,-1.58091,1.96622,0.5462,-1.5709,-0.501447,2.06846,0.15811,0.0655136,0.100626,-0.150972,-0.00941036,-0.005765,0.0645228,-0.1899,-0.120943,0.303524,3.4291,6.54848,0.000242721,-0.0484761,0.101289,0.265532,0.0413692,-0.51613,0.806694,9.92986e-05,-1.20017,0.118324,-1.39047,1.86862,-0.874328,-0.00283906,0.281698,60.0354,1.64865,55.3918,-2.32052,99.9409,-41.0885,56.2553,-0.0126528,-4.49721,1.92241,-8.9006,-6.8657,10.6847,15.6406,-1.21795,-1.09549,0.0967527,-14.4047,13.168,4.92294,41.0037,-0.13941,-0.148476,-0.0324206,92.4034,11.1747,60.3813,-0.114481,-5.86524,0.567485,0.424696,9.3848,-21.4081,-9.38627,8.66263,-14.6417,-6.1734,-3.27327,6.91481,-1.83787,-0.0680097,-9.12907,9.19681,1.80796,-18.6667,-174.272,-324.822,2.12663e-06,-0.523227,-4.88201,-7.99628,-2.96032,19.7465,-42.5215,2.40776e-06,52.3645,-6.41882,56.815,-46.0166,40.5169,-1.58292e-05,-18.4449,-4300.56,-128.638,-4365.21,132.607,0,0,1,1,0.313288,4.44089e-17,1.33729,-0.136051,-4.26229,0.0880584,12.032,376.947,-7.78767,0.387059,4.44089e-17,1.08308,0.000537939,-0.0136847,-0.000547333,-10.5194,267.604,10.7031,0.000448094,0.0696992,121.922
0.015,-0.651401,-0.0387152,0.10713,0.453427,0.758354,1.2382,0.521177,-0.0604238,-0.0264913,1.54106,-0.270003,-0.183266,-0.000809264,0.448455,-0.200593,0.0345302,1.49323,-0.115279,-0.0399335,0.000303832,0.663034,-0.0606939,-0.0145484,-0.713075,-1.31008,-1.58092,1.96717,0.738863,-1.56588,-0.333618,2.06017,0.084902,0.0346466,0.0842594,-0.116398,-0.0185997,-0.00610505,0.0188774,-0.143916,-0.111903,0.210191,2.55774,4.92438,0.000242732,-0.0510922,0.0768788,0.22555,0.0265676,-0.417397,0.594087,9.93107e-05,-0.938351,0.0862298,-1.10639,1.63853,-0.671743,-0.00283914,0.189474,38.5326,1.00546,33.5658,-1.65749,132.939,-70.3502,57.4689,-0.757362,-6.74304,1.01629,-4.92769,-8.17545,11.3828,15.1817,-1.2493,-1.25005,0.109243,-9.82303,14.3904,4.35909,40.7368,0.00967904,-0.178828,-0.0557544,108.84,-10.3248,79.4055,-0.393946,-5.71818,0.820249,0.356065,8.34059,-18.5663,-8.33819,4.86117,-13.9924,-5.20555,-4.34926,7.9819,-1.09485,0.237994,-7.57067,9.68453,4.37937,-19.5804,-187.366,-349.771,2.32837e-06,0.168952,-4.70765,-10.2024,-3.72558,22.4444,-44.9865,3.0289e-06,54.1848,-5.70047,56.2038,-59.652,38.8293,-2.39143e-05,-14.5043,-3654.37,-108.633,-3649.6,118.137,0,0,1,1,0.312294,4.44089e-17,1.33691,-0.137421,-4.19515,0.0867523,12.3377,376.642,-7.78865,0.384123,4.44089e-17,1.0824,0.0147019,-0.406363,-0.0154417,-9.75908,269.742,10.2501,0.00043711,0.0698363,161.157
0.02,-0.651326,-0.0386721,0.107443,0.453044,0.758234,1.23817,0.521082,-0.0609012,-0.0269414,1.54162,-0.261898,-0.167388,-0.00080805,0.448204,-0.200326,0.0354029,1.49327,-0.116805,-0.0380877,0.000304329,0.659697,-0.0604053,-0.0186753,-0.706373,-1.31246,-1.58094,1.96776,0.840167,-1.56356,-0.257029,2.05484,0.0149398,0.00861885,0.0625131,-0.0764885,-0.024074,-0.00491508,-0.0189759,-0.0954937,-0.0900061,0.112289,1.62091,3.17552,0.000242744,-0.0502474,0.0533405,0.174538,0.00793975,-0.305176,0.369154,9.93258e-05,-0.667427,0.0577274,-0.825374,1.34027,-0.477597,-0.00283926,0.116952,20.2608,0.462296,15.3178,-1.0668,155.448,-73.1161,44.783,-0.878668,-9.3657,1.26579,-0.521163,-8.54576,11.9505,14.185,-1.22673,-1.42143,0.117017,-4.43171,13.5366,4.25787,39.3099,0.201042,-0.225041,-0.083336,117.314,-23.1664,72.759,-0.770803,-5.07085,1.00336,0.419718,3.72716,-13.138,-3.76218,2.57605,-12.9405,-3.49836,-6.40163,8.26533,-0.361619,0.429388,-4.66528,10.3566,8.71087,-20.7493,-202.886,-380.078,2.61281e-06,1.25571,-4.40548,-13.8721,-5.17612,26.3717,-47.6345,3.77208e-06,56.5086,-4.17608,53.5921,-80.4827,34.225,-2.30019e-05,-7.73369,-2458.12,-72.8228,-2352.84,90.4083,0,0,1,1,0.312016,4.44089e-17,1.33678,-0.133504,-4.17541,0.0864272,12.0329,376.336,-7.78983,0.38378,4.44089e-17,1.08323,0.0028767,-0.0732606,-0.00288528,-10.5199,267.91,10.5513,0.000427499,0.0698956,177.78
0.025,-0.651575,-0.0387164,0.107595,0.452868,0.758104,1.23816,0.52087,-0.0611198,-0.0271736,1.54166,-0.258866,-0.161013,-0.000806836,0.447984,-0.200169,0.0359288,1.49318,-0.117671,-0.0374328,0.000304825,0.657773,-0.0602211,-0.0214624,-0.701684,-1.314,-1.58095,1.96815,0.880018,-1.56307,-0.239261,2.05177,-0.0497626,-0.00887294,0.030505,-0.0351618,-0.025882,-0.00276814,-0.0423023,-0.0437109,-0.0464517,0.00854231,0.606477,1.27513,0.000242757,-0.0439689,0.0313131,0.105178,-0.0179408,-0.173317,0.130982,9.93447e-05,-0.384884,0.036847,-0.557414,0.937861,-0.306472,-0.00283938,0.0782837,7.97014,0.0981818,3.55356,-0.614759,163.81,-58.7785,28.6685,-0.521665,-11.1614,1.79808,3.25404,-8.0487,12.0034,13.1666,-1.11948,-1.49579,0.113549,-1.73033,13.1328,4.37489,39.0897,0.368283,-0.264204,-0.105048,118.302,-24.3506,52.8429,-1.07536,-4.263,1.02428,0.546881,-1.08952,-6.99843,1.05563,1.35282,-11.985,-1.52841,-8.98124,8.00912,0.146807,0.501764,-0.978223,10.7993,13.3102,-21.2546,-206.624,-389.183,2.86917e-06,2.35341,-4.01632,-17.6411,-7.028,29.2015,-47.4093,4.39606e-06,57.7045,-1.94781,48.2618,-99.2252,26.4616,-1.93408e-05,-0.111413,-995.563,-30.4766,-801.939,55.7576,0,0,1,1,0.311828,4.44089e-17,1.33679,-0.141335,-4.2656,0.0915768,12.4897,376.949,-8.09259,0.385743,4.44089e-17,1.08331,0.00742509,-0.204552,-0.00768169,-9.75821,268.827,10.0954,0.000419453,0.0698256,176.744
0.03,-0.652124,-0.038799,0.107523,0.452893,0.757978,1.23816,0.520634,-0.0610684,-0.0270731,1.54117,-0.260999,-0.164366,-0.000805622,0.447823,-0.200113,0.0360137,1.49292,-0.117808,-0.0379631,0.000305322,0.657291,-0.0600855,-0.0230429,-0.699475,-1.31487,-1.58096,1.96854,0.894979,-1.56335,-0.241542,2.05009,-0.109688,-0.016515,-0.0144013,0.00488379,-0.025148,-0.00025932,-0.0471935,0.0102856,0.0200996,-0.0977309,-0.426643,-0.670787,0.000242771,-0.0322018,0.0112315,0.0169724,-0.0530809,-0.0273096,-0.106065,9.93666e-05,-0.0963615,0.027108,-0.316104,0.441735,-0.174164,-0.00283947,0.0777266,2.99232,-0.0542014,-0.45614,-0.335971,154.077,-38.5417,15.0312,-0.150449,-11.1656,1.99141,6.70755,-6.26936,10.8984,12.2191,-0.886195,-1.34265,0.0909466,-0.400864,12.4135,4.50116,38.0836,0.427273,-0.258994,-0.10801,105.983,-19.6081,31.7251,-1.14544,-3.57478,0.831835,0.588171,-4.62068,-1.90368,4.60486,0.535836,-9.72192,0.0146226,-9.9938,6.92613,0.462706,0.48963,1.99038,10.0158,15.1549,-18.8583,-181.87,-344.956,3.06689e-06,2.91459,-3.50263,-18.6838,-7.61741,27.447,-40.8084,4.86391e-06,52.4234,0.0478242,39.9807,-103.868,18.3402,-1.64766e-05,5.3773,183.007,3.9305,427.935,25.5522,0,0,1,1,0.312203,4.44089e-17,1.33704,-0.140424,-4.23818,0.0875564,12.4895,376.948,-7.78736,0.384747,4.44089e-17,1.08297,0.00795589,-0.241866,-0.00908268,-8.84276,268.828,10.0952,0.000412502,0.0696077,159.937
0.035,-0.652915,-0.0388812,0.107201,0.45309,0.757864,1.23817,0.520448,-0.0607666,-0.0265938,1.54021,-0.267679,-0.176344,-0.000804409,0.447735,-0.200145,0.0356315,1.49246,-0.117258,-0.0395137,0.000305819,0.65812,-0.0599488,-0.0236239,-0.699863,-1.31528,-1.58098,1.96906,0.914516,-1.56352,-0.233125,2.04904,-0.158297,-0.0164419,-0.0643703,0.0395144,-0.0228345,0.00218883,-0.0372415,0.0603646,0.0958742,-0.192023,-1.336,-2.39557,0.000242786,-0.0176288,-0.00628159,-0.0764467,-0.0911679,0.109925,-0.310107,9.9391e-05,0.165756,0.0273471,-0.116201,-0.0776039,-0.0824632,-0.00283955,0.104613,3.90736,-0.0345489,1.68353,-0.20821,123.957,-19.4552,5.2482,0.0166263,-8.98313,1.80221,9.27055,-4.06501,8.57419,11.5244,-0.530767,-0.903959,0.0479493,-1.56407,11.3579,4.64925,37.603,0.33833,-0.198619,-0.0861769,79.2175,-12.479,14.2822,-0.757017,-3.25076,0.225441,0.436329,-6.42575,1.34055,6.42726,0.00262913,-6.16992,0.589353,-8.06218,4.96481,0.654232,0.291073,4.12909,7.27028,12.3149,-12.6271,-121.831,-232.534,3.20519e-06,3.50787,-2.51051,-14.732,-6.2032,19.1458,-26.4465,5.20443e-06,39.7149,1.27264,28.4077,-85.042,9.97983,-1.46141e-05,5.21481,904.35,22.7631,1157.53,6.65509,0,0,1,1,0.31203,4.44089e-17,1.33706,-0.14807,-4.26801,0.0880019,13.0987,377.559,-7.78487,0.386001,4.44089e-17,1.08422,0.0142881,-0.42653,-0.0157921,-8.99515,268.523,9.94196,0.000406919,0.0693058,125.918
0.04,-0.653861,-0.0389487,0.106678,0.453412,0.757766,1.23819,0.520365,-0.060283,-0.0258065,1.53894,-0.277405,-0.194135,-0.000803195,0.447734,-0.200239,0.0348809,1.49185,-0.11623,-0.0417254,0.000306316,0.659941,-0.0597802,-0.0234947,-0.702377,-1.31544,-1.58099,1.96971,0.956662,-1.56312,-0.195769,2.04817,-0.189147,-0.0134951,-0.104681,0.0643385,-0.0195633,0.00364419,-0.0165961,0.096716,0.157449,-0.255158,-1.94515,-3.55824,0.000242802,-8.94775e-05,-0.0188342,-0.150107,-0.122184,0.205654,-0.442339,9.9417e-05,0.36433,0.0337103,0.0258374,-0.502814,-0.032564,-0.00283963,0.130687,8.42911,0.0792668,7.47117,-0.174935,80.3293,-4.97134,-0.0764742,-0.0970898,-5.407,1.09673,11.1334,-1.8409,5.36932,10.9647,-0.142702,-0.29041,-0.00434379,-4.19948,10.7916,5.24271,36.9695,0.13849,-0.0980999,-0.0468513,42.5087,-4.38507,3.41887,-0.245955,-3.15886,-0.38354,0.169378,-6.5333,2.6466,6.5499,-0.193181,-1.43,0.550242,-3.97851,2.48458,0.777432,0.0155764,4.76309,3.33022,6.12454,-3.85347,-39.3476,-78.1165,3.31635e-06,3.40885,-1.4244,-7.73735,-3.24468,6.89468,-7.36339,5.50536e-06,21.3786,1.33165,16.7233,-54.8121,4.96548,-1.27423e-05,2.23272,1027.16,26.8579,1251.47,-0.791148,0,0,1,1,0.311836,4.44089e-17,1.33734,-0.145498,-4.20099,0.0932345,13.0977,378.172,-8.39294,0.385337,4.44089e-17,1.08258,0.0100758,-0.282599,-0.0107502,-9.60652,269.438,10.2496,0.000403474,0.0689463,80.6719
0.045,-0.654842,-0.0390024,0.106055,0.453796,0.757688,1.23821,0.520401,-0.0597161,-0.0248662,1.53756,-0.288114,-0.21388,-0.00080198,0.447819,-0.200369,0.033937,1.49116,-0.115029,-0.0441212,0.000306813,0.662297,-0.0595784,-0.0229474,-0.706262,-1.31548,-1.58101,1.97042,1.02449,-1.56205,-0.127126,2.04728,-0.196297,-0.0107439,-0.124574,0.0767614,-0.0156762,0.00372208,0.00721936,0.113367,0.188071,-0.274425,-2.14189,-3.94882,0.000242819,0.0169548,-0.0259562,-0.188793,-0.138407,0.240128,-0.479156,9.94445e-05,0.471223,0.0403686,0.109454,-0.776874,-0.00773662,-0.00283969,0.141851,13.5649,0.213557,13.7285,-0.17889,33.2798,5.7982,-0.454865,-0.38239,-2.24306,-0.084704,11.7898,0.752012,2.36613,10.5493,0.15254,0.305618,-0.0480435,-8.67423,9.98219,5.78623,37.026,-0.0935514,0.00330301,-0.00384253,5.82739,3.40385,-1.99987,0.153825,-3.16563,-0.779023,-0.116852,-5.41495,2.74265,5.44827,-0.137254,2.62971,0.375469,0.449856,0.165028,0.731225,-0.222643,4.61571,-0.66986,-0.736126,4.64249,40.2977,70.8382,3.45088e-06,3.02903,-0.360724,-0.378627,-0.149512,-5.30563,10.7059,5.71677e-06,3.53428,0.467995,7.14465,-26.2746,2.89488,5.44082e-06,-1.54065,810.243,23.8613,982.36,-1.98053,0,0,1,1,0.311485,4.44089e-17,1.33711,-0.142737,-4.16992,0.0874975,12.9448,378.17,-7.93515,0.385765,4.44089e-17,1.08264,0.0100866,-0.291538,-0.0109483,-9.30083,268.828,10.0955,0.000402851,0.0685898,33.8608
