Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_Shoulder,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_mankle,L_mknee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_Shoulder,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,Sternum,l_IC,r.ASIS,r.PSIS,r_5meta,r_IC,r_ankle,r_calc,r_knee,r_mankle,r_mknee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0702491,0.0259728,0.0315441,0.00172836,0.00829296,0.00172857,0.00162747,0.00742827,0.0291516,0.00802061,0.0054883,0.0207862,0.0461001,0.00660147,0.00161573,0.00176929,0.00187545,0.00591616,0.00620449,0.00497655,0.00529035,0.0016173,0.0140126,0.0166584,0.00702001,0.0181296,0.0157069,0.00728289,0.00435132,0.0292271,0.0173968,0.0089751,0.0101914,0.0170828,0.0259088,0.00323633,0.0107151,0.0246873,0.00909183,0.0250955,0.0430412,0.00509747,0.0022008,0.0026562,0.00256976,0.0028246,0.00426205,0.00438273,0.00386134,0.00387327,0.00375223,0.002962
0,0.0625448,0.0203128,0.0403423,0.0056439,0.00575002,0.00188075,0.00293242,0.0145787,0.0395877,0.00678829,0.0105201,0.0198978,0.0681992,0.00165229,0.00303946,0.00223893,0.00110124,0.00559528,0.00741532,0.00511428,0.00635393,0.00435016,0.0256776,0.0433494,0.00573525,0.0216021,0.0110902,0.00189745,0.00554174,0.0350785,0.0112083,0.00681634,0.00826771,0.018129,0.0347262,0.011685,0.011474,0.0213022,0.0137729,0.0271343,0.0561112,0.00600204,0.0038895,0.00506028,0.00337209,0.00573595,0.00586055,0.0073186,0.00629066,0.0042332,0.00593348,0.00397167
1,0.0615632,0.0198514,0.0391828,0.00468609,0.00557983,0.00161946,0.00213066,0.0122448,0.0370047,0.0056791,0.00878817,0.0199024,0.0686248,0.00163412,0.00286609,0.00202697,0.00103203,0.00504858,0.00713742,0.00465517,0.00591191,0.00343582,0.0264996,0.0422563,0.00599904,0.0210425,0.0111657,0.00215842,0.00554001,0.0334572,0.0130606,0.00781261,0.00722236,0.0173261,0.0336193,0.00781505,0.0103631,0.0215641,0.0140522,0.0271155,0.0567529,0.00597818,0.00372966,0.00477004,0.00300568,0.00551263,0.00560646,0.00728257,0.00601538,0.00372698,0.00557729,0.00206908
2,0.0606853,0.0194766,0.0381827,0.00381511,0.00623844,0.00151684,0.00155088,0.00968366,0.0342145,0.00568526,0.00743117,0.0197723,0.0689131,0.00170915,0.00274801,0.00205038,0.00116767,0.00454444,0.00667525,0.0042764,0.00552107,0.00258722,0.026686,0.0410223,0.00631115,0.0206008,0.011299,0.00300661,0.00565487,0.0320495,0.0147301,0.00889677,0.0063717,0.0166332,0.0326706,0.00620287,0.00938866,0.0219806,0.0142784,0.0269115,0.0573113,0.00594934,0.00349413,0.00448916,0.00280689,0.00524611,0.00534544,0.00708033,0.00578572,0.00326069,0.00520373,0.0048568
3,0.0598797,0.0191342,0.0373875,0.00306597,0.0072071,0.00156174,0.00123851,0.00814038,0.0322144,0.00589458,0.00695801,0.019619,0.0690536,0.00182676,0.00267585,0.00215416,0.00145615,0.00410461,0.00617288,0.00400022,0.00519533,0.00181343,0.02582,0.0388142,0.00659076,0.0202718,0.0113944,0.00382179,0.00579712,0.0309945,0.0161144,0.0098861,0.00577329,0.0160866,0.0319172,0.00668693,0.00863534,0.0223737,0.0144751,0.0266066,0.057701,0.00590825,0.00322743,0.00448679,0.00277002,0.00498108,0.00513004,0.00676977,0.0056464,0.00287832,0.00485356,0.00750118
4,0.0591719,0.0188635,0.0368388,0.00245967,0.00814513,0.00169205,0.00114719,0.00778071,0.0311161,0.00555879,0.00720558,0.0195121,0.0691155,0.00195149,0.00263837,0.00236044,0.00178965,0.0037741,0.00574258,0.00381506,0.00494392,0.00123967,0.0242191,0.0357757,0.00680107,0.0200661,0.0114649,0.0044225,0.00592398,0.0303559,0.0171564,0.0106941,0.00541107,0.015708,0.0313864,0.0079157,0.00810983,0.0227055,0.0146365,0.026255,0.0578514,0.00587997,0.00297146,0.00453411,0.00279275,0.0047597,0.00505547,0.00660278,0.00544062,0.00262655,0.00455743,0.0093218
5,0.0587727,0.0186747,0.0365287,0.00207544,0.00885655,0.00177997,0.0011457,0.00799315,0.030637,0.00475647,0.00767596,0.0194311,0.0690474,0.00206334,0.00261658,0.00251032,0.00206433,0.00358986,0.00542794,0.00368952,0.00475043,0.00093477,0.0224201,0.032514,0.0069511,0.0199561,0.0115546,0.00479964,0.00601851,0.029906,0.017846,0.0112772,0.00524506,0.0154824,0.0310781,0.0087082,0.00779252,0.0229751,0.0147257,0.0259029,0.0578917,0.00583205,0.00280289,0.00456295,0.00289777,0.00461631,0.00497745,0.00644436,0.00522824,0.00248749,0.00436195,0.0100011
6,0.0587062,0.0185478,0.0364398,0.00194413,0.00928597,0.00181631,0.00111725,0.0082852,0.0304595,0.00390738,0.00803802,0.0193555,0.0688309,0.00212816,0.00258868,0.00259788,0.00226064,0.00351927,0.00524644,0.00361886,0.00461201,0.000858323,0.0208827,0.0296309,0.00703521,0.0199145,0.011501,0.00501258,0.00605961,0.0296407,0.0181906,0.0116057,0.00525036,0.0153159,0.0309821,0.00782392,0.00767421,0.0231806,0.0146862,0.025576,0.0577543,0.00577186,0.00272482,0.00461702,0.00295258,0.00455374,0.00484419,0.00632715,0.00509289,0.00244239,0.00426086,0.00955853
7,0.0587106,0.0184804,0.0365331,0.00203754,0.00947293,0.00176616,0.00101682,0.00850359,0.0303981,0.00324178,0.00822911,0.0192902,0.0685298,0.00212915,0.00253942,0.00268161,0.00236445,0.00339737,0.00518075,0.00358962,0.00452057,0.000806148,0.0198573,0.0275603,0.00703958,0.0199176,0.0115947,0.00512059,0.00602938,0.0296295,0.0182227,0.0116915,0.00537804,0.0151348,0.0310532,0.00629771,0.00772639,0.023336,0.0144748,0.0253089,0.0574399,0.00571426,0.00258385,0.00469472,0.00303912,0.0045388,0.00467306,0.00627286,0.00505511,0.00245888,0.00424059,0.00818111
8,0.0588278,0.018463,0.0367852,0.00228275,0.00946773,0.00168931,0.000868359,0.00862802,0.0303757,0.0029208,0.0082876,0.0192432,0.0681707,0.00206928,0.00245721,0.00270118,0.00238042,0.00338645,0.00522273,0.00359783,0.00449941,0.000828128,0.0193918,0.0265038,0.0070231,0.0199603,0.011712,0.00514534,0.00596544,0.0297943,0.0180318,0.0115738,0.00561629,0.0151402,0.0312584,0.00484078,0.00788099,0.0234265,0.0141996,0.025114,0.0570069,0.00566874,0.0025493,0.00476729,0.00310502,0.00454795,0.00461192,0.00630401,0.00509632,0.00248894,0.00429997,0.00624215
