Time	Left	Right	Total	Trigger
0	-0.195	0.683	0.488	1
0.100000000000023	-0.187	0.677	0.49	1
0.199999999999989	-0.189	0.674	0.485	1
0.300000000000011	-0.188	0.675	0.487	1
0.399999999999977	-0.178	0.666	0.487	1
0.5	-0.177	0.668	0.491	1
0.600000000000023	-0.182	0.681	0.498	1
0.699999999999989	-0.186	0.674	0.488	1
0.810000000000002	-0.185	0.663	0.478	1
0.910000000000025	-0.187	0.667	0.481	1
1.00999999999999	-0.187	0.674	0.487	1
1.11000000000001	-0.183	0.674	0.491	1
1.20999999999998	-0.187	0.668	0.481	1
1.31	-0.186	0.67	0.484	1
1.41000000000003	-0.187	0.681	0.494	1
1.50999999999999	-0.186	0.682	0.496	1
1.61000000000001	-0.185	0.677	0.491	1
1.72000000000003	-0.193	0.667	0.474	1
1.81999999999999	-0.2	0.662	0.462	1
1.92000000000002	-0.192	0.659	0.467	1
2.01999999999998	-0.176	0.665	0.489	1
2.12	-0.177	0.68	0.503	1
2.22000000000003	-0.183	0.692	0.509	1
2.31999999999999	-0.174	0.69	0.516	1
2.42000000000002	-0.177	0.677	0.5	1
2.51999999999998	-0.187	0.677	0.49	1
2.63	-0.186	0.685	0.499	1
2.73000000000002	-0.184	0.68	0.497	1
2.82999999999998	-0.199	0.678	0.479	1
2.93000000000001	-0.21	0.683	0.473	1
3.03000000000003	-0.201	0.679	0.479	1
3.13	-0.188	0.675	0.486	1
3.23000000000002	-0.196	0.685	0.489	1
3.32999999999998	-0.209	0.696	0.487	1
3.43000000000001	-0.204	0.683	0.478	1
3.54000000000002	-0.182	0.68	0.498	1
3.63999999999999	-0.17	0.68	0.51	1
3.74000000000001	-0.171	0.683	0.512	1
3.83999999999997	-0.18	0.675	0.495	1
3.94	-0.202	0.672	0.47	1
4.04000000000002	-0.204	0.684	0.48	1
4.13999999999999	-0.202	0.691	0.489	1
4.24000000000001	-0.201	0.687	0.486	1
4.33999999999997	-0.201	0.688	0.487	1
4.44	-0.191	0.689	0.498	1
4.54000000000002	-0.186	0.686	0.5	1
4.64999999999998	-0.192	0.692	0.5	1
4.75	-0.185	0.687	0.503	1
4.85000000000002	-0.181	0.67	0.488	1
4.94999999999999	-0.19	0.67	0.48	1
5.05000000000001	-0.195	0.686	0.491	1
5.14999999999998	-0.192	0.691	0.499	1
5.25	-0.182	0.682	0.5	1
5.35000000000002	-0.191	0.676	0.486	1
5.44999999999999	-0.198	0.675	0.477	1
5.56	-0.186	0.678	0.492	1
5.66000000000003	-0.167	0.683	0.516	1
5.75999999999999	-0.17	0.697	0.527	1
5.86000000000001	-0.184	0.714	0.53	1
5.95999999999998	-0.195	0.708	0.513	1
6.06	-0.2	0.692	0.493	1
6.16000000000003	-0.197	0.69	0.494	1
6.25999999999999	-0.189	0.697	0.509	1
6.36000000000001	-0.188	0.679	0.491	1
6.45999999999998	-0.188	0.679	0.491	1
6.56999999999999	-0.177	0.688	0.511	1
6.67000000000002	-0.186	0.683	0.497	1
6.76999999999998	-0.193	0.671	0.478	1
6.87	-0.191	0.672	0.482	1
6.97000000000003	-0.181	0.68	0.499	1
7.06999999999999	-0.173	0.679	0.506	1
7.17000000000002	-0.177	0.683	0.506	1
7.26999999999998	-0.181	0.695	0.514	1
7.38	-0.181	0.696	0.515	1
7.48000000000002	-0.185	0.692	0.507	1
7.57999999999998	-0.197	0.692	0.496	1
7.68000000000001	-0.201	0.693	0.492	1
7.78000000000003	-0.193	0.688	0.494	1
7.88	-0.185	0.688	0.503	1
7.98000000000002	-0.177	0.692	0.515	1
8.07999999999998	-0.197	0.691	0.495	1
