Time	Left	Right	Total	Trigger
0	-0.125	0.094	-0.031	1
0.0999999999999943	-0.125	0.093	-0.032	1
0.20999999999998	-0.12	0.09	-0.031	1
0.310000000000002	-0.121	0.085	-0.036	1
0.409999999999997	-0.121	0.093	-0.028	1
0.509999999999991	-0.126	0.102	-0.024	1
0.609999999999985	-0.129	0.101	-0.029	1
0.70999999999998	-0.112	0.094	-0.019	1
0.810000000000002	-0.108	0.086	-0.021	1
0.909999999999997	-0.122	0.086	-0.036	1
1.00999999999999	-0.13	0.096	-0.034	1
1.10999999999999	-0.127	0.102	-0.025	1
1.22	-0.13	0.093	-0.038	1
1.31999999999999	-0.129	0.08	-0.05	1
1.41999999999999	-0.121	0.094	-0.027	1
1.51999999999998	-0.112	0.102	-0.01	1
1.61999999999998	-0.116	0.098	-0.018	1
1.72	-0.133	0.096	-0.037	1
1.81999999999999	-0.136	0.094	-0.042	1
1.91999999999999	-0.124	0.094	-0.031	1
2.01999999999998	-0.116	0.104	-0.011	1
2.13	-0.121	0.108	-0.014	1
2.22999999999999	-0.138	0.103	-0.034	1
2.32999999999998	-0.136	0.107	-0.029	1
2.42999999999998	-0.116	0.106	-0.01	1
2.53	-0.119	0.099	-0.02	1
2.63	-0.114	0.106	-0.008	1
2.72999999999999	-0.11	0.115	0.005	1
2.82999999999998	-0.121	0.107	-0.014	1
2.92999999999998	-0.126	0.091	-0.035	1
3.03999999999999	-0.117	0.081	-0.035	1
3.13999999999999	-0.104	0.09	-0.014	1
3.23999999999998	-0.101	0.097	-0.004	1
3.33999999999997	-0.12	0.09	-0.03	1
3.44	-0.131	0.098	-0.033	1
3.53999999999999	-0.123	0.107	-0.017	1
3.63999999999999	-0.112	0.101	-0.011	1
3.73999999999998	-0.115	0.105	-0.01	1
3.83999999999997	-0.119	0.12	0.001	1
3.94	-0.118	0.116	-0.002	1
4.04999999999998	-0.108	0.096	-0.013	1
4.14999999999998	-0.108	0.096	-0.012	1
4.25	-0.11	0.116	0.006	1
4.34999999999999	-0.11	0.101	-0.009	1
4.44999999999999	-0.114	0.095	-0.019	1
4.54999999999998	-0.12	0.093	-0.027	1
4.64999999999998	-0.129	0.096	-0.033	1
4.75	-0.125	0.1	-0.025	1
4.84999999999999	-0.118	0.107	-0.011	1
4.95999999999998	-0.123	0.105	-0.018	1
5.06	-0.12	0.098	-0.022	1
5.16	-0.118	0.1	-0.018	1
5.25999999999999	-0.118	0.096	-0.022	1
5.35999999999999	-0.122	0.09	-0.032	1
5.45999999999998	-0.128	0.094	-0.034	1
5.56	-0.126	0.099	-0.026	1
5.66	-0.12	0.101	-0.019	1
5.75999999999999	-0.119	0.095	-0.023	1
5.85999999999999	-0.119	0.096	-0.022	1
5.95999999999998	-0.118	0.105	-0.014	1
6.06999999999999	-0.121	0.1	-0.021	1
6.16999999999999	-0.121	0.094	-0.027	1
6.26999999999998	-0.118	0.096	-0.022	1
6.36999999999998	-0.123	0.093	-0.03	1
6.47	-0.114	0.095	-0.019	1
6.56999999999999	-0.113	0.104	-0.01	1
6.66999999999999	-0.121	0.104	-0.017	1
6.76999999999998	-0.112	0.103	-0.009	1
6.88	-0.103	0.101	-0.002	1
6.97999999999999	-0.103	0.1	-0.003	1
7.07999999999998	-0.102	0.094	-0.007	1
7.17999999999998	-0.105	0.086	-0.019	1
7.28	-0.105	0.091	-0.014	1
7.38	-0.106	0.09	-0.016	1
7.47999999999999	-0.109	0.092	-0.018	1
7.57999999999998	-0.107	0.089	-0.018	1
7.67999999999998	-0.108	0.094	-0.014	1
7.78	-0.116	0.099	-0.016	1
7.88	-0.115	0.096	-0.019	1
7.98999999999998	-0.117	0.098	-0.019	1
8.08999999999997	-0.117	0.095	-0.023	1
8.19	-0.114	0.088	-0.027	1
8.28999999999999	-0.115	0.092	-0.023	1
8.38999999999999	-0.119	0.102	-0.016	1
8.48999999999998	-0.115	0.103	-0.011	1
8.58999999999997	-0.115	0.102	-0.013	1
8.69	-0.122	0.111	-0.011	1
8.79999999999998	-0.116	0.117	0.001	1
8.89999999999998	-0.108	0.111	0.004	1
9	-0.108	0.097	-0.01	1
9.09999999999999	-0.117	0.093	-0.024	1
9.19999999999999	-0.125	0.097	-0.027	1
9.29999999999998	-0.128	0.096	-0.032	1
9.39999999999998	-0.126	0.086	-0.04	1
9.5	-0.131	0.079	-0.052	1
9.59999999999999	-0.129	0.085	-0.043	1
9.69999999999999	-0.113	0.092	-0.021	1
9.79999999999998	-0.115	0.094	-0.02	0
9.91	-0.12	0.099	-0.02	0
10.01	-0.119	0.1	-0.019	0
10.11	-0.127	0.093	-0.034	0
10.21	-0.126	0.085	-0.042	0
10.31	-0.125	0.094	-0.031	0
10.41	-0.122	0.091	-0.031	0
10.51	-0.128	0.094	-0.034	0
10.61	-0.131	0.102	-0.029	0
10.71	-0.122	0.096	-0.026	0
10.82	-0.108	0.092	-0.016	0
10.92	-0.103	0.088	-0.015	0
11.02	-0.103	0.083	-0.02	0
11.12	-0.1	0.089	-0.011	0
11.22	-0.093	0.1	0.006	0
11.32	-0.101	0.105	0.004	0
11.42	-0.113	0.094	-0.019	0
11.52	-0.112	0.096	-0.016	0
11.62	-0.105	0.112	0.007	0
11.72	-0.106	0.117	0.011	0
11.83	-0.121	0.11	-0.011	0
11.93	-0.121	0.095	-0.026	0
12.03	-0.121	0.096	-0.025	0
12.13	-0.13	0.108	-0.022	0
12.23	-0.14	0.111	-0.029	0
12.33	-0.133	0.113	-0.019	0
12.43	-0.12	0.115	-0.005	0
12.53	-0.118	0.111	-0.008	0
12.63	-0.117	0.112	-0.005	0
12.74	-0.119	0.114	-0.005	0
12.84	-0.124	0.098	-0.026	0
12.94	-0.122	0.093	-0.029	0
