/forceset/addlong_r/activation	/forceset/recfem_r/activation	/forceset/vaslat_r/activation	/forceset/vasmed_r/activation	/forceset/tibant_r/activation	/forceset/bflh_r/activation	/forceset/semiten_r/activation	/forceset/gaslat_r/activation	/forceset/gasmed_r/activation	/forceset/soleus_r/activation
0.338813	0.369682	0.001016	-0.002476	-0.049602	0.006445	0.002489	0.005451	0.002654	0.016958
0.348233	0.402389	0.001607	-0.000912	-0.012122	0.007715	0.004163	0.006357	0.003270	0.019325
0.357744	0.435128	0.002195	0.000632	0.024895	0.008998	0.005851	0.007266	0.003887	0.021668
0.367290	0.467784	0.002778	0.002150	0.061266	0.010291	0.007547	0.008177	0.004502	0.023977
0.376821	0.500243	0.003353	0.003638	0.096825	0.011593	0.009249	0.009088	0.005114	0.026245
0.386289	0.532394	0.003921	0.005090	0.131433	0.012901	0.010952	0.009995	0.005720	0.028461
0.395649	0.564126	0.004479	0.006502	0.164979	0.014215	0.012653	0.010897	0.006318	0.030616
0.404852	0.595330	0.005027	0.007869	0.197379	0.015533	0.014350	0.011791	0.006908	0.032701
0.413849	0.625896	0.005563	0.009189	0.228566	0.016857	0.016039	0.012675	0.007489	0.034706
0.422585	0.655712	0.006088	0.010459	0.258479	0.018185	0.017718	0.013546	0.008057	0.036622
0.431003	0.684661	0.006601	0.011677	0.287068	0.019520	0.019384	0.014404	0.008614	0.038443
0.439043	0.712620	0.007101	0.012841	0.314294	0.020862	0.021035	0.015245	0.009157	0.040160
0.446642	0.739467	0.007590	0.013951	0.340129	0.022211	0.022667	0.016069	0.009686	0.041769
0.453734	0.765090	0.008066	0.015006	0.364555	0.023569	0.024277	0.016872	0.010199	0.043267
0.460257	0.789394	0.008530	0.016004	0.387558	0.024936	0.025862	0.017653	0.010697	0.044652
0.466154	0.812307	0.008981	0.016944	0.409134	0.026313	0.027418	0.018411	0.011178	0.045923
0.471377	0.833779	0.009418	0.017827	0.429287	0.027701	0.028942	0.019142	0.011642	0.047082
0.475882	0.853782	0.009843	0.018652	0.448041	0.029098	0.030432	0.019846	0.012089	0.048128
0.479634	0.872302	0.010254	0.019419	0.465435	0.030506	0.031886	0.020520	0.012518	0.049063
0.482604	0.889337	0.010652	0.020129	0.481517	0.031922	0.033305	0.021164	0.012929	0.049887
0.484764	0.904889	0.011036	0.020784	0.496340	0.033348	0.034688	0.021777	0.013324	0.050601
0.486086	0.918964	0.011406	0.021387	0.509966	0.034780	0.036037	0.022358	0.013700	0.051204
0.486543	0.931576	0.011763	0.021939	0.522470	0.036218	0.037355	0.022907	0.014060	0.051697
0.486102	0.942759	0.012105	0.022443	0.533937	0.037661	0.038642	0.023421	0.014401	0.052084
0.484734	0.952577	0.012434	0.022903	0.544461	0.039107	0.039902	0.023901	0.014724	0.052365
0.482419	0.961119	0.012747	0.023320	0.554137	0.040555	0.041137	0.024344	0.015028	0.052545
0.479148	0.968492	0.013047	0.023698	0.563055	0.042004	0.042347	0.024749	0.015312	0.052625
0.474929	0.974810	0.013332	0.024039	0.571299	0.043454	0.043537	0.025115	0.015576	0.052611
0.469791	0.980183	0.013605	0.024347	0.578949	0.044903	0.044710	0.025440	0.015818	0.052505
0.463783	0.984710	0.013865	0.024622	0.586075	0.046352	0.045868	0.025723	0.016038	0.052311
0.456966	0.988481	0.014113	0.024869	0.592743	0.047799	0.047016	0.025966	0.016235	0.052036
0.449405	0.991579	0.014351	0.025089	0.599009	0.049246	0.048158	0.026167	0.016409	0.051683
0.441167	0.994079	0.014579	0.025284	0.604921	0.050695	0.049296	0.026329	0.016559	0.051258
0.432321	0.996053	0.014798	0.025455	0.610522	0.052147	0.050436	0.026452	0.016686	0.050767
