pelvis_tilt = -0.198723, 0.050997 rad (-11.385989, 2.921913 deg)
pelvis_list = -0.097786, 0.147157 rad (-5.602748, 8.431475 deg)
pelvis_rotation = -0.123556, 0.224486 rad (-7.079237, 12.862100 deg)
pelvis_tx = 0.853263, 0.897355 m
pelvis_ty = 0.969627, 1.048060 m
pelvis_tz = -0.327831, -0.280887 m
hip_flexion_r = -0.353331, 1.350760 rad (-20.244375, 77.392847 deg)
hip_adduction_r = -0.246930, 0.112471 rad (-14.148047, 6.444114 deg)
hip_rotation_r = -0.407645, 0.144570 rad (-23.356338, 8.283251 deg)
knee_angle_r = 0.177790, 2.494890 rad (10.186617, 142.946667 deg)
ankle_angle_r = -0.780808, 0.295506 rad (-44.737003, 16.931247 deg)
subtalar_angle_r = -0.732658, 0.160455 rad (-41.978211, 9.193394 deg)
mtp_angle_r = 0.061482, 0.115248 rad (3.522676, 6.603224 deg)
hip_flexion_l = -0.429542, 1.310210 rad (-24.610944, 75.069503 deg)
hip_adduction_l = -0.267066, 0.124091 rad (-15.301755, 7.109891 deg)
hip_rotation_l = -0.787642, 0.087347 rad (-45.128562, 5.004637 deg)
knee_angle_l = 0.194766, 2.516450 rad (11.159270, 144.181964 deg)
ankle_angle_l = -0.621135, 0.466800 rad (-35.588414, 26.745670 deg)
subtalar_angle_l = -0.592147, 0.391168 rad (-33.927524, 22.412275 deg)
mtp_angle_l = 0.079358, 0.098844 rad (4.546907, 5.663350 deg)
lumbar_extension = -0.477928, -0.142099 rad (-27.383257, -8.141673 deg)
lumbar_bending = -0.216841, 0.133578 rad (-12.424074, 7.653456 deg)
lumbar_rotation = -0.464900, 0.357013 rad (-26.636808, 20.455338 deg)
arm_flex_r = -1.512380, -0.100280 rad (-86.652991, -5.745621 deg)
arm_add_r = -0.477680, -0.120691 rad (-27.369048, -6.915085 deg)
arm_rot_r = -0.076145, 0.360049 rad (-4.362764, 20.629288 deg)
elbow_flex_r = 1.202280, 2.635710 rad (68.885570, 151.015059 deg)
arm_flex_l = -1.314600, 0.040111 rad (-75.321032, 2.298197 deg)
arm_add_l = -0.506867, -0.184213 rad (-29.041340, -10.554627 deg)
arm_rot_l = -0.256135, 0.272325 rad (-14.675454, 15.603073 deg)
elbow_flex_l = 1.247920, 2.737660 rad (71.500549, 156.856364 deg)
