time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,missing_grf_data,missing_grf_reason,calcn_r_probably_contacting_ground,calcn_l_probably_contacting_ground,calcn_r_contact_cop_x,calcn_r_contact_cop_y,calcn_r_contact_cop_z,calcn_r_contact_moment_x,calcn_r_contact_moment_y,calcn_r_contact_moment_z,calcn_r_contact_force_x,calcn_r_contact_force_y,calcn_r_contact_force_z,calcn_l_contact_cop_x,calcn_l_contact_cop_y,calcn_l_contact_cop_z,calcn_l_contact_moment_x,calcn_l_contact_moment_y,calcn_l_contact_moment_z,calcn_l_contact_force_x,calcn_l_contact_force_y,calcn_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
0,-0.11887,-0.0146954,0.0435732,0.915218,0.989815,-0.307124,0.188697,-0.000286702,-0.232877,0.685565,0.328355,-0.143072,0.0284675,0.721507,-0.069031,0.0676592,1.86252,0.0465444,-0.276097,-0.00901299,-0.116397,0.0207837,-0.039961,-0.46656,-0.219566,-0.221603,2.04903,-0.640596,-0.266263,-0.0434836,1.94245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.789784,0,-0.261696,6.28503,66.7615,-3.13458,209.536,2225.76,-104.504,0,0,0,0,0,0,0,0,0,0.000662868,0.0652546,0
0.005,-0.118445,0.000287257,0.0571033,0.91586,0.992553,-0.308373,0.139319,-0.0163969,-0.255069,0.653292,0.301216,-0.120272,0.0284162,0.743635,-0.0456073,0.0575173,1.82344,0.05241,-0.282956,-0.00901968,-0.11297,0.00148485,-0.0401058,-0.466165,-0.217734,-0.219966,2.05916,-0.652232,-0.272216,-0.0443757,1.95367,0.0850948,2.99653,2.70601,0.128456,0.547561,-0.249817,-9.87548,-3.22204,-4.43844,-6.45449,-5.42782,4.55989,-0.0102569,4.42563,4.68473,-2.02837,-7.81626,1.17312,-1.37177,-0.00133739,0.685451,-3.85978,-0.0289588,0.0789872,0.366525,0.327392,2.02618,-2.32706,-1.19069,-0.17842,2.24337,198.063,-121.745,-62.8736,5.27273,3.43956,3.58411,79.6106,-246.81,2.97979,-103.05,-415.529,10.3511,0.0959779,7.2355,-24.5571,10.2589,20.6859,1.72017,-1.19747,-0.232839,123.516,-19.0794,-51.6578,-39.0372,6.22146,6.30667,34.3963,8.40198,-8.91649,-12.8457,44.6188,-21.4994,-18.2928,-59.0393,3.11006,9.65739,3.46775,65.8129,50.6231,1.8582,-29.3276,-307.175,-12.3285,-6.62226e-05,-96.8762,-83.518,-65.5219,-129.828,-47.9807,88.0213,0.000138999,20.5773,13.6642,51.8734,-44.2477,-10.6767,5.65713,17.6476,-17.7134,9.51396,-33.5412,21.0076,0,0,1,0,0.779927,0,-0.261118,3.51818,31.5074,-0.834089,236.924,2121.79,-56.1698,0,0,0,0,0,0,0,0,0,0.000622764,0.0655494,240.949
0.01,-0.118557,0.0148126,0.0691574,0.916581,0.995532,-0.309535,0.0915871,-0.0312416,-0.277215,0.620287,0.266397,-0.0977808,0.0283649,0.763341,-0.0242716,0.0457374,1.78111,0.0570761,-0.287614,-0.00902636,-0.109028,-0.0174724,-0.0389537,-0.466876,-0.216168,-0.218187,2.06973,-0.66431,-0.277932,-0.0461064,1.96541,-0.0224023,2.90506,2.41081,0.144006,0.595848,-0.232478,-9.54641,-2.96893,-4.42915,-6.60112,-6.9637,4.49825,-0.0102573,3.94125,4.26714,-2.35598,-8.4654,0.933216,-0.931665,-0.0013367,0.788337,-3.79146,0.230408,-0.142251,0.313142,0.355678,2.11442,-2.41563,-1.14312,-0.346125,2.34841,139.721,-62.7948,-27.4174,4.89305,1.52159,3.36708,58.4389,-174.494,24.5457,-53.5018,-425.556,26.7657,0.102435,5.27212,-14.758,1.77141,19.0208,1.5878,-0.914894,-0.230219,96.0879,-8.12792,-54.3392,-39.4349,4.25616,4.18335,31.0924,8.41101,-7.93271,-11.6624,42.4198,-21.744,-19.758,-59.4025,3.01416,8.28192,4.05563,67.2278,51.7533,4.1532,-28.0654,-304.788,-13.755,-7.06881e-05,-96.2725,-84.8093,-64.3945,-129.419,-48.1197,87.9021,0.000170127,20.8276,15.3136,52.2627,-44.0628,-11.1748,5.21062,17.7316,-17.4723,9.87802,-33.3217,20.3566,0,0,1,0,0.767945,0,-0.261276,-0.355739,-2.61852,0.0157066,268.934,1979.56,-11.874,0,0,0,0,0,0,0,0,0,0.000594103,0.0660012,155.738
0.015,-0.119212,0.0288439,0.0797264,0.917376,0.998718,-0.310596,0.0455357,-0.0447924,-0.299257,0.586579,0.223959,-0.0756334,0.0283136,0.78064,-0.00505614,0.0323476,1.73555,0.0605392,-0.290075,-0.00903304,-0.104566,-0.0360469,-0.0364951,-0.468689,-0.214882,-0.216279,2.08074,-0.676825,-0.283401,-0.04867,1.97766,-0.131122,2.80627,2.1138,0.159077,0.637257,-0.2122,-9.21027,-2.71016,-4.40838,-6.74145,-8.48764,4.42948,-0.0102576,3.45989,3.8431,-2.67796,-9.1125,0.692617,-0.492154,-0.00133585,0.892475,-3.71489,0.491722,-0.362565,0.257268,0.381731,2.20308,-2.50299,-1.09373,-0.512734,2.45019,84.0885,-22.105,-5.98354,3.86228,-0.772944,2.68379,39.4764,-118.508,42.491,-13.8324,-411.42,33.9791,0.096955,2.77705,-7.14422,-4.40188,16.7276,1.51139,-0.710581,-0.225174,67.8677,0.580873,-57.2122,-39.6213,2.42128,2.0592,26.9092,8.3884,-7.10615,-10.5594,38.8678,-22.1499,-24.1407,-60.2684,2.81719,6.33046,4.60633,71.1289,55.2681,11.5041,-24.145,-296.113,-18.8776,-7.47698e-05,-94.6923,-88.4994,-60.5834,-127.977,-46.8008,89.4167,0.000199497,21.5128,20.3764,53.0829,-43.4167,-12.6302,4.06671,17.714,-16.8509,11.0037,-32.6712,18.2128,0,0,1,0,0.752544,0,-0.262136,-4.56271,-27.3123,-0.320209,300.066,1796.19,21.0585,0,0,0,0,0,0,0,0,0,0.000572275,0.0660962,87.2813
0.02,-0.120422,0.0422718,0.0887887,0.918242,1.00206,-0.311542,0.00126257,-0.0569615,-0.321011,0.552268,0.174118,-0.053958,0.0282623,0.795573,0.0119469,0.0174433,1.68679,0.0628323,-0.2903,-0.00903971,-0.0995654,-0.0541119,-0.0327094,-0.471587,-0.213911,-0.214268,2.0922,-0.689761,-0.288594,-0.0520505,1.99037,-0.241872,2.68557,1.81246,0.173163,0.66891,-0.189169,-8.85463,-2.43382,-4.35086,-6.86218,-9.96821,4.33509,-0.010258,2.98643,3.4006,-2.98087,-9.75238,0.458613,-0.0450706,-0.00133485,1.00004,-3.613,0.757137,-0.579649,0.194117,0.402065,2.29165,-2.58724,-1.03871,-0.67609,2.54125,38.8202,-6.92125,-2.63115,2.51881,-2.72868,2.21979,28.0545,-85.4864,49.2295,8.11355,-366.671,30.6249,0.0738367,-0.290663,-2.6056,-7.55056,13.7997,1.52309,-0.599941,-0.21889,40.0099,6.52129,-60.2168,-39.6238,0.928316,0.16063,21.7381,8.15976,-6.58362,-9.64873,33.6883,-22.2866,-31.9688,-61.2025,2.50083,3.80826,5.00219,77.5536,61.4659,25.3109,-16.2494,-276.706,-29.6195,-8.14966e-05,-92.3326,-94.4323,-52.7809,-125.347,-42.4875,93.9374,0.000221558,22.5366,29.6388,53.7547,-42.0031,-15.1272,2.42417,17.2367,-15.8435,12.9945,-31.5029,14.0441,0,0,1,0,0.729027,0,-0.263674,-7.6917,-36.9889,-0.817952,326.295,1569.13,34.6989,0,0,0,0,0,0,0,0,0,0.000552774,0.0655455,39.7562
0.025,-0.122188,0.0549004,0.0963209,0.91917,1.0055,-0.312363,-0.0410717,-0.067594,-0.342132,0.517551,0.11736,-0.033023,0.028211,0.808196,0.026589,0.0012194,1.63489,0.0640631,-0.288177,-0.00904638,-0.0940018,-0.0714359,-0.0275799,-0.475536,-0.213319,-0.212197,2.10409,-0.703093,-0.293463,-0.0562185,2.00342,-0.353305,2.52573,1.50645,0.185667,0.687951,-0.164158,-8.46686,-2.12649,-4.22431,-6.94342,-11.3517,4.18699,-0.0102584,2.52476,2.92844,-3.24478,-10.3791,0.246176,0.424616,-0.00133374,1.11272,-3.46481,1.02591,-0.789664,0.118481,0.414186,2.37783,-2.66646,-0.973736,-0.833604,2.61147,11.0891,-14.8883,-17.2059,2.25014,-3.39097,0.991371,26.4939,-76.4086,39.8304,7.87243,-288.704,18.9486,0.0292155,-2.52797,-2.74219,-6.61263,9.79828,1.67674,-0.624953,-0.214641,15.4591,11.1837,-62.8492,-39.2818,-0.00757845,-1.20279,15.5907,7.7986,-6.41898,-9.07326,27.0933,-21.435,-42.2987,-61.1419,2.14525,0.81002,5.0817,85.8843,69.2014,44.3445,-2.94178,-242.593,-46.7867,-0.000109047,-89.6181,-100.914,-40.371,-122.068,-35.0285,100.925,0.00017268,23.6221,42.5172,53.0073,-39.4753,-18.3717,0.911782,15.8635,-14.6193,15.6807,-30.0215,7.96002,0,0,1,0,0.689008,0,-0.2652,-7.85329,-29.3647,-0.536402,347.602,1299.74,23.7422,0,0,0,0,0,0,0,0,0,0.000538437,0.0652875,25.6557
0.03,-0.124491,0.0664716,0.102325,0.920152,1.00896,-0.313057,-0.0812589,-0.0764964,-0.362145,0.482761,0.054536,-0.0132578,0.0281597,0.81858,0.0387084,-0.0160138,1.57994,0.0644183,-0.283531,-0.00905305,-0.0878476,-0.0876971,-0.0211251,-0.480471,-0.213186,-0.210104,2.11638,-0.716791,-0.29794,-0.0611371,2.01668,-0.46048,2.31423,1.20074,0.196393,0.692001,-0.138749,-8.03744,-1.78049,-4.00259,-6.95813,-12.5647,3.95306,-0.0102589,2.07667,2.42387,-3.44663,-10.9895,0.0710331,0.929239,-0.00133288,1.23083,-3.25223,1.29095,-0.987041,0.0266222,0.418744,2.45715,-2.73956,-0.895333,-0.983712,2.65127,-6.92261,-44.8701,-43.5894,4.17328,-2.29478,-0.0719098,28.1176,-87.0544,17.5888,-9.30325,-187.285,4.76054,-0.0365707,-3.92699,-6.99887,-2.13079,5.02245,1.97056,-0.772678,-0.215641,-6.18356,12.8541,-65.6092,-38.505,-0.344955,-1.93833,8.83163,7.63369,-6.50331,-8.7197,19.4751,-19.5268,-53.6253,-59.0986,1.78904,-2.4414,4.82327,95.1447,75.9796,65.1725,17.2158,-191.463,-69.7001,-0.000135193,-87.1118,-105.194,-23.7755,-119.03,-24.832,109.187,8.07559e-05,24.1668,56.963,49.2744,-35.5495,-21.8773,0.311109,13.2172,-13.3676,18.7992,-28.5574,0.541769,0,0,1,0,0.621937,0,-0.264352,-2.91769,-8.02352,0.0654681,364.661,1002.8,-8.18238,0,0,0,0,0,0,0,0,0,0.000531346,0.0652855,63.1187
0.035,-0.127281,0.0767021,0.106851,0.921179,1.01236,-0.31363,-0.119068,-0.0834993,-0.380529,0.4484,-0.0130741,0.00476502,0.0281084,0.826785,0.0481978,-0.0338413,1.52202,0.0641527,-0.276155,-0.00905971,-0.0810893,-0.102534,-0.0134385,-0.486295,-0.213599,-0.208002,2.12899,-0.730823,-0.301946,-0.0667696,2.02995,-0.558114,2.04611,0.905245,0.205338,0.679794,-0.114633,-7.56172,-1.40059,-3.67672,-6.87205,-13.522,3.60456,-0.0102596,1.64111,1.8979,-3.56551,-11.5846,-0.0531269,1.47517,-0.00133247,1.35167,-2.96741,1.53732,-1.16479,-0.0827644,0.4203,2.52323,-2.8064,-0.801337,-1.1265,2.65398,-27.6718,-78.6737,-69.4952,3.47626,-2.22581,-0.264424,22.6346,-102.15,-6.40893,-27.4817,-87.2285,-4.95696,-0.118499,-5.59297,-14.0299,4.64677,0.550648,2.37497,-1.00528,-0.224743,-24.4507,12.894,-68.2678,-37.4005,-0.245152,-2.10776,1.89574,7.54987,-6.45996,-8.20647,11.5002,-16.7508,-63.4539,-54.7756,1.36313,-5.5578,4.33856,104.245,78.6841,84.2699,44.8864,-124.017,-96.7519,-0.000141307,-85.6731,-104.703,-4.99279,-117.295,-12.4492,117.855,5.08898e-05,23.4185,69.9989,42.0245,-30.1513,-25.0231,1.19669,9.10609,-12.0789,22.0053,-27.2081,-7.53523,0,0,1,0,0.519397,0,-0.25375,8.61096,16.3433,-1.0188,374.141,710.107,-44.2662,0,0,0,0,0,0,0,0,0,0.000530347,0.0652585,108.637
0.04,-0.130491,0.0853463,0.110008,0.922239,1.01562,-0.314094,-0.15427,-0.0885352,-0.396806,0.415162,-0.0837846,0.020369,0.0280571,0.832849,0.0550697,-0.0517937,1.46117,0.0635758,-0.265833,-0.00906637,-0.0737455,-0.115621,-0.00470134,-0.492873,-0.214639,-0.205871,2.14184,-0.745157,-0.305403,-0.0730823,2.04303,-0.641868,1.72884,0.631367,0.212154,0.652005,-0.0929401,-7.04049,-1.00717,-3.25537,-6.64762,-14.1421,3.1208,-0.0102603,1.21275,1.37438,-3.59047,-12.1711,-0.115373,2.06445,-0.00133222,1.46876,-2.61742,1.74744,-1.31554,-0.20788,0.426283,2.56876,-2.86679,-0.69131,-1.26254,2.61631,-54.7926,-88.7176,-85.0661,2.99652,-1.02738,0.848249,5.02655,-102.884,-21.3406,-28.483,-17.5694,-7.24905,-0.208566,-7.33987,-22.4797,12.423,-2.65992,2.88107,-1.29519,-0.246566,-36.1934,14.9746,-70.6111,-36.2203,-0.00494892,-1.97596,-4.58887,7.49502,-5.83735,-7.10109,4.2253,-12.9863,-68.7805,-49.1819,0.907532,-8.01279,3.86079,112.147,74.5008,99.8616,79.228,-44.5354,-126.47,-0.000147935,-86.2687,-98.0054,12.4204,-117.901,1.13972,126.172,1.70084e-05,20.8819,78.3314,32.2924,-23.6404,-27.0562,3.72888,3.57607,-10.515,24.8502,-25.7458,-15.6697,0,0,1,0,0.383555,0,-0.221751,23.0059,28.6047,-3.97409,368.779,458.526,-63.7037,0,0,0,0,0,0,0,0,0,0.000533202,0.0650813,134.611
0.045,-0.134025,0.092271,0.111935,0.923323,1.01868,-0.314463,-0.186669,-0.0917085,-0.410586,0.383905,-0.155608,0.0328112,0.0280058,0.836756,0.0594915,-0.0694355,1.39736,0.0630274,-0.252357,-0.00907303,-0.0658797,-0.12675,0.00484317,-0.500041,-0.216355,-0.203646,2.15477,-0.759754,-0.308238,-0.0800386,2.05572,-0.706799,1.38493,0.385458,0.216692,0.611941,-0.0736362,-6.47976,-0.634663,-2.75607,-6.25148,-14.3648,2.48845,-0.0102611,0.781405,0.884351,-3.52837,-12.7606,-0.109674,2.69531,-0.00133214,1.57317,-2.22576,1.9089,-1.43375,-0.343161,0.444928,2.58664,-2.91937,-0.567059,-1.39127,2.53796,-81.8858,-60.6808,-85.3395,3.30455,1.04854,2.54368,-17.621,-79.214,-20.1882,-6.54792,6.95527,-4.20926,-0.29611,-9.89025,-30.0231,19.3469,-3.43364,3.43047,-1.58944,-0.282244,-40.4896,19.9964,-72.7158,-35.4027,0.275273,-1.67495,-10.0989,7.35339,-4.4658,-5.1558,-1.65091,-8.46681,-68.1294,-43.276,0.369583,-9.45186,3.58811,117.978,62.7173,111.216,117.938,39.887,-158.075,-0.000159297,-89.1174,-85.09,25.4635,-121.001,14.0383,133.259,-3.45531e-05,16.3397,80.0228,21.3469,-16.5787,-27.2628,7.71994,-3.04053,-8.32649,26.8358,-23.8235,-23.2815,0,0,1,0,0.240422,0,-0.186287,25.0913,20.5653,-3.90273,339.317,278.11,-52.7777,0,0,0,0,0,0,0,0,0,0.000536898,0.0647874,132.999
