Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_Shoulder,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_Shoulder,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,Sternum,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0143392,0.0251729,0.0262655,0.0199144,0.0307872,0.0166944,0.0202394,0.0248586,0.0197996,0.0156635,0.0131907,0.0346031,0.0157165,0.0148742,0.011074,0.0214292,0.0198618,0.0220821,0.0179262,0.0250513,0.0172447,0.0456721,0.0359389,0.0107521,0.0165133,0.0273139,0.0148967,0.038773,0.0630198,0.046539,0.0220205,0.0295245,0.0325599,0.021205,0.02081,0.0353702,0.011753,0.0185326,0.016749,0.0128966,0.0176516,0.0176695,0.0175363,0.0169051,0.0161048,0.0177365
0,0.0293876,0.0441928,0.00914943,0.041628,0.0157944,0.0332982,0.0273688,0.0255341,0.0198408,0.019294,0.0119711,0.0347693,0.0250663,0.024465,0.022614,0.0193947,0.0189112,0.0157584,0.0171521,0.028552,0.00434725,0.0565722,0.0395122,0.0132088,0.0207955,0.0207858,0.0157435,0.0326909,0.0384385,0.0576547,0.0223986,0.0274101,0.0318406,0.0100149,0.0243447,0.0285281,0.0109734,0.00912277,0.0106674,0.010086,0.0168547,0.0209323,0.0150516,0.0116748,0.00713439,0.0125082
1,0.0291903,0.0436316,0.0088769,0.0371792,0.0149709,0.0313473,0.023629,0.0250306,0.0202686,0.0189732,0.0124399,0.0312211,0.0234259,0.0227001,0.0215342,0.0186282,0.0177772,0.0159426,0.0166461,0.0282152,0.00437585,0.0558461,0.0388531,0.0125288,0.0204886,0.020814,0.0154228,0.0329166,0.0388739,0.0574227,0.022521,0.0275045,0.034918,0.0130123,0.0238485,0.0300912,0.00877506,0.00592681,0.00741892,0.00963265,0.0154785,0.019777,0.0153612,0.0102336,0.00780875,0.0148566
2,0.0289101,0.0427018,0.0086131,0.0341941,0.0145463,0.0302331,0.021704,0.0244732,0.0207,0.018661,0.0130825,0.0284898,0.0216087,0.0213653,0.020894,0.0185894,0.0175836,0.0165176,0.0165209,0.0277624,0.00452071,0.0552514,0.0383174,0.0118027,0.019976,0.0206706,0.0152855,0.0329513,0.0393426,0.0570809,0.0226207,0.0281687,0.0364243,0.0147501,0.0240082,0.0315225,0.00711067,0.00320825,0.00435084,0.00969708,0.0149716,0.0189325,0.0156937,0.00928079,0.00897266,0.015977
3,0.0286176,0.0414867,0.00844652,0.032125,0.0143509,0.0293456,0.0204714,0.0239834,0.021128,0.0184297,0.0139253,0.0264709,0.0202158,0.0197978,0.0203765,0.0190335,0.0179211,0.0175827,0.016906,0.0265129,0.00497997,0.0546341,0.0380891,0.011016,0.0193817,0.0203626,0.0153984,0.0327613,0.039986,0.0566429,0.0226081,0.0290771,0.0364618,0.0154544,0.0245173,0.0326949,0.00661861,0.00328237,0.00231389,0.00996527,0.0152016,0.0183703,0.0159491,0.00881032,0.00991729,0.0155533
4,0.0284067,0.0401101,0.00857021,0.0309211,0.014359,0.0285074,0.0193914,0.0235932,0.0214337,0.0183515,0.0149539,0.0249596,0.0200107,0.0178926,0.0199724,0.0200053,0.0185287,0.0190369,0.0176022,0.0245665,0.00561842,0.0539223,0.0380681,0.0100874,0.0186328,0.0199811,0.0158288,0.0324272,0.0407672,0.0561808,0.0224508,0.0300101,0.0355204,0.0158359,0.0249202,0.033664,0.00693803,0.00522516,0.00294623,0.0102447,0.0159246,0.018292,0.0163161,0.00883998,0.010554,0.0141752
5,0.0283338,0.0382943,0.00917869,0.0302805,0.0144958,0.0279699,0.0185322,0.0232325,0.0216479,0.0184577,0.0160757,0.0238791,0.0204391,0.0159513,0.0196019,0.0218598,0.0194471,0.0207706,0.0180041,0.0219014,0.00646666,0.053388,0.0381171,0.00906489,0.017761,0.019679,0.0165748,0.0320447,0.0416444,0.0557324,0.0222413,0.0310913,0.0342585,0.0168213,0.0253251,0.0344969,0.00718426,0.00663667,0.00436093,0.0101825,0.0168988,0.0185365,0.0168855,0.00928221,0.0110772,0.0127133
6,0.0284,0.0362805,0.0102139,0.0299742,0.0147123,0.0278573,0.0183082,0.0229861,0.0217196,0.0187194,0.0172274,0.0229983,0.0211727,0.0143793,0.019513,0.0248672,0.0209891,0.02275,0.0180194,0.0193458,0.00744359,0.0530834,0.0382071,0.00792494,0.0168399,0.019418,0.0174126,0.0317246,0.0423761,0.0551225,0.0219791,0.0323739,0.0335239,0.0161717,0.025725,0.0353091,0.00703012,0.00700334,0.00558691,0.00947544,0.0179998,0.0190617,0.0177078,0.0101394,0.0117359,0.0125822
7,0.0286735,0.0343469,0.0114719,0.0293525,0.0151263,0.028003,0.0185851,0.0228904,0.0216785,0.0191199,0.0184303,0.0219264,0.0216913,0.0136065,0.0197089,0.0291353,0.0231838,0.0253088,0.0176535,0.0174911,0.00834802,0.0528831,0.0383213,0.00668921,0.0158948,0.0191738,0.0183825,0.0314597,0.0428967,0.0543985,0.0216964,0.0337209,0.0333436,0.0161586,0.0263103,0.0362062,0.00654228,0.00664759,0.00718936,0.00798528,0.0190358,0.0195874,0.0186867,0.0114106,0.0126069,0.0136822
8,0.0291145,0.0324593,0.0126499,0.0278107,0.0159655,0.0281607,0.0186831,0.0230344,0.0217029,0.0196174,0.0195901,0.0202674,0.0219875,0.0139573,0.0197266,0.0343692,0.0257461,0.0287502,0.0169354,0.0163718,0.00925287,0.0528051,0.0384394,0.00541255,0.0149326,0.0190426,0.0194874,0.0312877,0.0437199,0.0538193,0.0213814,0.0347928,0.0336617,0.0170078,0.0272383,0.0371905,0.00626923,0.00674124,0.0097331,0.00598744,0.0199931,0.0201923,0.019748,0.0128832,0.0136309,0.0144798
